ax,ay,az,mx,my,mz
-0.0918303,0.178104,-1.13788,0.18886,0.11634,-0.16464
-0.0232586,0.150749,-1.07063,0.18592,0.11718,-0.17066
-0.0525591,0.0820195,-1.04433,0.18802,0.11536,-0.16408
-0.0556176,0.0267734,-1.02049,0.19208,0.11942,-0.16282
-0.059349,-0.00666884,-1.02134,0.19026,0.11746,-0.16198
-0.0658942,-0.0363147,-1.02176,0.19152,0.112,-0.16296
-0.0240538,-0.098222,-0.970221,0.1897,0.11536,-0.16016
-0.0159794,-0.0282749,-0.913982,0.196,0.10906,-0.15918
0.00383972,-0.00658689,-0.933719,0.1974,0.10962,-0.16142
-0.00356186,0.0288729,-0.981015,0.19124,0.11298,-0.1568
-0.0135326,0.00571813,-0.990713,0.19866,0.11354,-0.16142
-0.0329847,-0.0361202,-0.992746,0.1974,0.11466,-0.15708
-0.0783117,-0.0305003,-1.00338,0.20356,0.11438,-0.15582
-0.0774553,-0.00551107,-1.00289,0.20188,0.11284,-0.1624
-0.0438729,0.0295946,-1.01117,0.20468,0.1148,-0.16394
-0.0194049,0.0661673,-1.00585,0.20748,0.1127,-0.16072
-0.0128597,0.0891372,-1.00311,0.20692,0.11578,-0.16184
-0.0124927,0.0795215,-1.00018,0.21056,0.11662,-0.16604
-0.0192214,0.0371361,-1.00537,0.21,0.11788,-0.16716
-0.0528649,0.016301,-1.01549,0.21336,0.11704,-0.16408
-0.0623463,0.00410971,-1.01345,0.21056,0.11886,-0.15862
-0.0655271,-0.00807955,-1.0058,0.21378,0.11592,-0.16366
-0.0580644,-0.00636218,-0.998052,0.2149,0.1162,-0.16114
-0.0534766,0.0021527,-0.998369,0.21896,0.12012,-0.16212
-0.0405086,0.0076692,-1.00709,0.22022,0.11788,-0.15834
-0.0259501,0.0275181,-1.01531,0.22344,0.12012,-0.15862
-0.0202001,0.0338285,-1.0267,0.2233,0.1169,-0.16744
-0.0205671,0.0440566,-1.04535,0.22442,0.11438,-0.16268
-0.041732,0.0362713,-1.02151,0.2233,0.11606,-0.16184
-0.056107,0.0129926,-1.00649,0.22358,0.11718,-0.16058
-0.0707266,0.00269827,-1.00755,0.22596,0.11746,-0.16212
-0.0667506,-0.00661002,-0.999312,0.22792,0.11718,-0.1582
-0.0567187,-0.0158551,-0.988336,0.2303,0.12124,-0.15988
-0.0550059,-0.0159158,-0.984122,0.23114,0.1183,-0.15736
-0.0471761,-0.000111388,-0.990744,0.2282,0.11606,-0.15736
