ax,ay,az
-0.0303955,-0.739441,-0.646484
-0.0147095,-0.733276,-0.646484
-0.0168457,-0.735291,-0.651672
-0.0144653,-0.734558,-0.651611
-0.0147095,-0.737305,-0.647827
-0.0176392,-0.735962,-0.64502
-0.0148315,-0.735962,-0.647522
-0.0140991,-0.737,-0.647766
-0.0128784,-0.734741,-0.647095
-0.0147705,-0.736267,-0.64917
-0.0149536,-0.736816,-0.64856
-0.0150757,-0.735413,-0.64856
-0.0182495,-0.733398,-0.652222
-0.0144653,-0.837524,-0.517151
-0.0294189,-0.836304,-0.516113
-0.0150757,-0.834717,-0.515442
-0.0151978,-0.836792,-0.512207
-0.0162964,-0.839661,-0.512573
-0.0155029,-0.838867,-0.515076
-0.0125732,-0.838623,-0.513306
-0.0159302,-0.835693,-0.530823
-0.0140991,-0.839905,-0.514099
-0.0161743,-0.837646,-0.513306
-0.0112915,-0.838135,-0.512024
-0.0110474,-0.836487,-0.510925
-0.0162354,-0.838806,-0.511902
-0.0164795,-0.836243,-0.514771
-0.0133057,-0.836426,-0.513977
-0.0135498,-0.835632,-0.500488
-0.0170288,-0.833862,-0.515564
-0.0158081,-0.836792,-0.515625
-0.012146,-0.837036,-0.512512
-0.0147705,-0.839172,-0.511475
-0.0130005,-0.839355,-0.509949
-0.0120239,-0.838013,-0.511719
-0.0137939,-0.836975,-0.515015
-0.0167236,-0.836792,-0.515442
-0.0144043,-0.836304,-0.512878
-0.0137939,-0.836792,-0.515137
-0.0150146,-0.83728,-0.512817
-0.0310059,-0.837769,-0.512939
-0.0141602,-0.837585,-0.513306
-0.0126953,-0.836853,-0.514282
-0.0132446,-0.836487,-0.514771
-0.0166626,-0.837158,-0.514282
-0.0134277,-0.837769,-0.515808
-0.0150146,-0.83728,-0.515259
-0.0168457,-0.835938,-0.514648
-0.0154419,-0.839355,-0.513672
-0.0149536,-0.838562,-0.513611
